STUDY_ID	SAMPLE_ID	CD274
blca_tcga	TCGA-E7-A5KE-01	-0.3984
blca_tcga	TCGA-E7-A5KF-01	-0.3781
blca_tcga	TCGA-FD-A5BY-01	-0.2164
blca_tcga	TCGA-FD-A5BZ-01	-0.3681
blca_tcga	TCGA-FD-A5C0-01	-0.3913
blca_tcga	TCGA-FD-A5C1-01	0.1731
blca_tcga	TCGA-HQ-A5NE-01	0.0764
blca_tcga	TCGA-K4-A4AB-01	-0.3318
blca_tcga	TCGA-K4-A5RI-01	-0.378
blca_tcga	TCGA-K4-A5RJ-01	0.0142
blca_tcga	TCGA-LT-A5Z6-01	-0.2693
blca_tcga	TCGA-BL-A5ZZ-01	-0.0944
blca_tcga	TCGA-DK-A6AV-01	-0.4094
blca_tcga	TCGA-DK-A6AW-01	-0.2705
blca_tcga	TCGA-DK-A6B1-01	-0.3793
blca_tcga	TCGA-DK-A6B2-01	-0.2916
blca_tcga	TCGA-DK-A6B6-01	-0.265
blca_tcga	TCGA-E7-A677-01	-0.063
blca_tcga	TCGA-E7-A678-01	-0.4054
blca_tcga	TCGA-FD-A62N-01	0.9544
blca_tcga	TCGA-FD-A62O-01	-0.3991
blca_tcga	TCGA-FD-A62P-01	-0.3523
blca_tcga	TCGA-FD-A62S-01	-0.2805
blca_tcga	TCGA-FT-A61P-01	1.2096
blca_tcga	TCGA-K4-A5RH-01	1.6411
blca_tcga	TCGA-LC-A66R-01	0.6915
blca_tcga	TCGA-R3-A69X-01	-0.3478
blca_tcga	TCGA-DK-A6B0-01	-0.4091
blca_tcga	TCGA-DK-A6B5-01	-0.3287
blca_tcga	TCGA-E5-A4TZ-01	-0.3367
blca_tcga	TCGA-E5-A4U1-01	-0.4172
blca_tcga	TCGA-GC-A6I1-01	-0.0487
blca_tcga	TCGA-GC-A6I3-01	-0.3308
blca_tcga	TCGA-GD-A6C6-01	-0.4292
blca_tcga	TCGA-K4-A6FZ-01	0.9287
blca_tcga	TCGA-K4-A6MB-01	-0.3917
blca_tcga	TCGA-PQ-A6FI-01	-0.2839
blca_tcga	TCGA-PQ-A6FN-01	-0.3358
blca_tcga	TCGA-S5-A6DX-01	-0.4089
blca_tcga	TCGA-E7-A6ME-01	-0.3541
blca_tcga	TCGA-E7-A6MF-01	-0.2088
blca_tcga	TCGA-E7-A7DU-01	-0.397
blca_tcga	TCGA-FD-A6TF-01	0.4759
blca_tcga	TCGA-FD-A6TG-01	-0.3491
blca_tcga	TCGA-FD-A6TH-01	1.5609
blca_tcga	TCGA-FD-A6TI-01	-0.3753
blca_tcga	TCGA-GD-A76B-01	-0.3142
blca_tcga	TCGA-GU-A763-01	-0.4102
blca_tcga	TCGA-GU-A766-01	2.0987
blca_tcga	TCGA-GU-A767-01	-0.3965
blca_tcga	TCGA-CU-A72E-01	-0.4014
blca_tcga	TCGA-E7-A7DV-01	-0.0918
blca_tcga	TCGA-FD-A6TA-01	-0.2778
blca_tcga	TCGA-FD-A6TB-01	-0.3063
blca_tcga	TCGA-FD-A6TC-01	-0.3395
blca_tcga	TCGA-FD-A6TD-01	0.2728
blca_tcga	TCGA-FD-A6TE-01	-0.0984
blca_tcga	TCGA-FD-A6TK-01	1.0355
blca_tcga	TCGA-GU-A762-01	0.1124
blca_tcga	TCGA-GV-A6ZA-01	-0.386
blca_tcga	TCGA-KQ-A41N-01	-0.4023
blca_tcga	TCGA-KQ-A41P-01	-0.4117
blca_tcga	TCGA-KQ-A41Q-01	-0.3831
blca_tcga	TCGA-KQ-A41S-01	-0.3916
blca_tcga	TCGA-UY-A78K-01	-0.2791
blca_tcga	TCGA-UY-A78L-01	0.0657
blca_tcga	TCGA-UY-A78N-01	-0.3968
blca_tcga	TCGA-UY-A78O-01	-0.3304
blca_tcga	TCGA-CF-A7I0-01	-0.4112
blca_tcga	TCGA-E7-A6MD-01	-0.3191
blca_tcga	TCGA-E7-A7PW-01	-0.3818
blca_tcga	TCGA-E7-A7XN-01	2.5365
